# 函戈五笔 拼音码表
# 格式：拼音	汉字	权重
# 来源：rime-pinyin-simp + rime-luna-pinyin
# 条目数：119004
ta	它	7136
mingtian	明天	7128
qi	其	7128
yihou	以后	7127
zhishi	只是	7127
hua	话	7124
zheli	这里	7118
erqie	而且	7114
xitong	系统	7108
tongguo	通过	7107
yiding	一定	7104
qing	请	7103
shiyong	使用	7101
qian	钱	7100
yiqi	一起	7100
jiao	叫	7099
chu	出	7098
kai	开	7091
qiye	企业	7088
huozhe	或者	7086
fazhan	发展	7080
shichang	市场	7080
ha	哈	7075
beijing	北京	7070
yizhi	一直	7070
qita	其他	7066
dang	当	7065
haoxiang	好像	7065
jia	家	7058
xiang	向	7057
chanpin	产品	7048
shiqing	事情	7044
zhezhong	这种	7044
deren	的人	7042
weishenme	为什么	7041
faxian	发现	7037
difang	地方	7033
xiwang	希望	7033
zhiyou	只有	7033
qingkuang	情况	7031
wen	问	7027
zhi	之	7023
yaoqiu	要求	7020
dianhua	电话	7018
geng	更	7013
xinxi	信息	7012
gai	该	7006
bie	别	7005
zou	走	7005
kuai	快	7003
duoshao	多少	7002
tigong	提供	7000
yiban	一般	6998
xiexie	谢谢	6997
huilai	回来	6989
zhuyao	主要	6988
bucuo	不错	6986
qian	前	6986
shenghuo	生活	6986
shanghai	上海	6985
you	由	6983
gao	高	6963
muqian	目前	6963
nin	您	6952
zhijie	直接	6952
suoyou	所有	6951
jia	加	6948
suo	所	6947
tian	天	6947
wanshang	晚上	6946
jishu	技术	6938
fangmian	方面	6937
que	却	6937
yi	已	6937
chuxian	出现	6936
suiran	虽然	6933
weile	为了	6933
zhichi	支持	6933
jiage	价格	6923
meiguo	美国	6920
shibushi	是不是	6918
wode	我的	6914
shui	谁	6912
xuanze	选择	6908
yiqian	以前	6907
xiangmu	项目	6903
feichang	非常	6902
limian	里面	6900
nei	内	6899
xie	写	6899
bieren	别人	6894
sha	啥	6893
guojia	国家	6892
gao	搞	6883
lao	老	6883
nide	你的	6879
yiji	以及	6879
duiyu	对于	6878
tongshi	同时	6878
liangge	两个	6875
zhunbei	准备	6875
guanli	管理	6874
yidian	一点	6870
kending	肯定	6867
shi	事	6867
zheshi	这是	6864
zhi	只	6864
fuwu	服务	6861
na	拿	6861
renwei	认为	6861
zuotian	昨天	6861
chengwei	成为	6859
dai	带	6859
zuihou	最后	6859
wangzhan	网站	6858
nali	哪里	6850
qilai	起来	6850
ru	如	6850
zuowei	作为	6850
zhihou	之后	6847
jixu	继续	6846
shouji	手机	6845
butong	不同	6844
zhende	真的	6844
yonghu	用户	6841
youyu	由于	6841
jieguo	结果	6840
guji	估计	6838
zuijin	最近	6831
si	死	6829
yingxiang	影响	6829
xuexiao	学校	6825
haizi	孩子	6823
haode	好的	6819
sheji	设计	6816
renwu	任务	6815
xing	行	6813
guanxi	关系	6810
mai	卖	6810
yun	晕	6808
bufen	部分	6806
huodong	活动	6805
de	地	6798
bixu	必须	6797
wangluo	网络	6793
xiang	像	6792
yanjiu	研究	6792
dangran	当然	6789
ruhe	如何	6789
shi	使	6787
naxie	那些	6786
gongneng	功能	6784
keshi	可是	6783
xuesheng	学生	6779
shuju	数据	6776
fangshi	方式	6772
gaosu	告诉	6772
geiwo	给我	6772
gang	刚	6766
neirong	内容	6764
nali	那里	6763
yici	一次	6763
cheng	成	6762
nvren	女人	6761
diannao	电脑	6760
shifou	是否	6760
huan	换	6751
wu	无	6751
yisi	意思	6750
lianxi	联系	6749
youxi	游戏	6747
laoshi	老师	6745
tebie	特别	6742
zhiyao	只要	6742
geren	个人	6740
en	嗯	6739
n	嗯	6739
ng	嗯	6739
na	哪	6738
wenjian	文件	6737
nenggou	能够	6736
youdian	有点	6736
jige	几个	6734
ruanjian	软件	6734
guoqu	过去	6733
hui	回	6733
ai	爱	6730
xuexi	学习	6729
shehui	社会	6727
guolai	过来	6724
ting	听	6722
geini	给你	6721
shao	少	6721
nanren	男人	6720
liaojie	了解	6719
zhineng	只能	6718
chifan	吃饭	6717
yuan	元	6717
shijie	世界	6715
ka	卡	6714
kao	靠	6711
buhao	不好	6709
buyong	不用	6708
dehua	的话	6706
biaoshi	表示	6705
bang	帮	6700
heihei	嘿嘿	6700
suan	算	6696
fasheng	发生	6695
dedao	得到	6692
zhe	者	6692
chuli	处理	6691
jiben	基本	6691
tongxue	同学	6691
laopo	老婆	6690
mang	忙	6690
zhaopian	照片	6688
kehu	客户	6687
fangfa	方法	6684
qi	起	6684
wancheng	完成	6683
ge	各	6676
guanyu	关于	6675
youxie	有些	6675
dangshi	当时	6674
gangcai	刚才	6673
fen	分	6671
xue	学	6671
shixian	实现	6670
yuanlai	原来	6669
baokuo	包括	6668
jiejue	解决	6666
zhongde	中的	6665
zong	总	6665
ze	则	6659
yizhong	一种	6654
fanzheng	反正	6649
genju	根据	6645
zhengfu	政府	6645
shui	水	6644
zhongyao	重要	6644
chenggong	成功	6640
gai	改	6640
ai	唉	6639
kaolv	考虑	6639
lo	咯	6639
xiazai	下载	6637
nengli	能力	6636
zhang	张	6636
guocheng	过程	6633
fenxi	分析	6630
tade	他的	6630
jihui	机会	6628
xiawu	下午	6625
san	三	6623
tigao	提高	6623
renshi	认识	6622
zhuyi	注意	6621
jieshao	介绍	6619
lian	连	6616
zhiqian	之前	6616
cunzai	存在	6615
jinru	进入	6615
riben	日本	6615
qizhong	其中	6612
jian	见	6611
jinnian	今年	6610
fang	放	6606
zengjia	增加	6606
che	车	6605
jizhe	记者	6605
chuqu	出去	6604
wufa	无法	6604
wan	万	6603
quan	全	6602
an	按	6600
guonei	国内	6599
jueding	决定	6597
renjia	人家	6594
xiangguan	相关	6590
qu	区	6588
wanquan	完全	6588
zao	早	6587
la	拉	6586
danwei	单位	6584
zuzhi	组织	6584
youren	有人	6581
ceshi	测试	6579
haiyao	还要	6579
yewu	业务	6578
houlai	后来	6577
renhe	任何	6577
zhengzai	正在	6577
ou	偶	6576
ben	本	6575
zhuanye	专业	6573
ye	页	6571
jin	进	6570
zhijian	之间	6568
meitian	每天	6564
xing	性	6564
nong	弄	6563
di	第	6561
chule	除了	6560
jianyi	建议	6559
luntan	论坛	6557
touzi	投资	6556
wan	完	6555
juyou	具有	6554
tong	同	6553
jihua	计划	6552
kongjian	空间	6552
xi	系	6550
hua	花	6546
buxing	不行	6545
yuanyin	原因	6541
kaifa	开发	6539
jianli	建立	6535
mingzi	名字	6534
canjia	参加	6532
huijia	回家	6532
renyuan	人员	6530
quanbu	全部	6529
huiqu	回去	6526
jianshe	建设	6526
shuijiao	睡觉	6526
xianshi	显示	6525
shenzhi	甚至	6522
woguo	我国	6521
zhaodao	找到	6521
zuihao	最好	6521
huode	获得	6519
pa	怕	6519
daole	到了	6517
nv	女	6517
bumen	部门	6515
zheci	这次	6515
renmen	人们	6514
biaozhun	标准	6513
jiang	讲	6513
jingji	经济	6511
sha	杀	6509
kongzhi	控制	6508
zu	组	6508
wangshang	网上	6507
chengxu	程序	6505
jiandan	简单	6504
gan	干	6500
rangwo	让我	6500
yiqie	一切	6500
cuo	错	6499
benlai	本来	6496
xiaoguo	效果	6496
xie	些	6495
zhu	住	6494
shangban	上班	6492
pao	跑	6491
ming	名	6490
chengshi	城市	6488
nage	哪个	6488
zhenshi	真是	6487
dianying	电影	6483
haole	好了	6483
yexu	也许	6483
dadao	达到	6482
juti	具体	6478
sudu	速度	6478
fuze	负责	6477
ci	次	6474
huanjing	环境	6474
shui	睡	6473
wang	网	6472
jingchang	经常	6471
xiaoshi	小时	6471
yinhang	银行	6471
banfa	办法	6470
xiaoxi	消息	6467
shengchan	生产	6466
shenqing	申请	6466
tichu	提出	6466
daxue	大学	6465
kanlai	看来	6465
shuohua	说话	6465
zhuang	装	6465
yinci	因此	6464
woshi	我是	6462
laishuo	来说	6458
ting	挺	6458
nihao	你好	6457
shuoming	说明	6457
xiangxin	相信	6457
xuduo	许多	6457
diao	掉	6456
zuoyong	作用	6455
wang	王	6454
anquan	安全	6453
gezhong	各种	6453
zhongyu	终于	6453
tu	图	6452
zhenzheng	真正	6452
zheng	正	6451
jide	记得	6450
lu	路	6449
quanguo	全国	6449
wai	外	6449
zhengchang	正常	6449
tiaozheng	调整	6448
caozuo	操作	6447
lingdao	领导	6447
caiyong	采用	6446
meishi	没事	6446
ziliao	资料	6446
er	二	6445
xialai	下来	6445
lingwai	另外	6444
nuli	努力	6444
sheng	生	6443
xiugai	修改	6443
guoji	国际	6442
hangye	行业	6442
tou	头	6442
ying	应	6442
youguan	有关	6442
jieshou	接受	6441
tupian	图片	6441
yishang	以上	6441
xin	心	6440
caineng	才能	6439
rongyi	容易	6439
youmeiyou	有没有	6439
shezhi	设置	6436
mama	妈妈	6435
chansheng	产生	6433
mingbai	明白	6433
yiwei	以为	6433
yin	因	6431
shangmian	上面	6428
lishi	历史	6427
zi	子	6427
hezuo	合作	6423
mubiao	目标	6421
daibiao	代表	6419
woye	我也	6418
xuqiu	需求	6418
zongshi	总是	6417
zheyi	这一	6416
diyi	第一	6415
qiang	强	6415
anzhuang	安装	6414
anzhao	按照	6411
guanggao	广告	6411
nayang	那样	6411
zuo	作	6411
gupiao	股票	6409
lei	类	6409
song	送	6408
yeyou	也有	6407
yebu	也不	6406
mei	每	6405
wenhua	文化	6405
buduan	不断	6403
queding	确定	6402
shu	书	6402
fuwuqi	服务器	6401
haohao	好好	6400
mafan	麻烦	6398
xiaoshou	销售	6398
zuoyou	左右	6398
zhongxin	中心	6397
biaoxian	表现	6394
yingyong	应用	6394
jingyan	经验	6393
ruci	如此	6393
bushao	不少	6390
genben	根本	6390
guanzhu	关注	6388
jingguo	经过	6387
wenzhang	文章	6387
chabuduo	差不多	6386
guai	乖	6385
fa	法	6384
dizhi	地址	6383
biru	比如	6381
tiaojian	条件	6381
douyou	都有	6380
queshi	确实	6378
pai	拍	6377
xingcheng	形成	6377
zhengge	整个	6377
bangzhu	帮助	6374
jiali	家里	6373
jingshen	精神	6372
shenti	身体	6372
biao	表	6371
shuiping	水平	6370
ziyuan	资源	6370
mashang	马上	6368
shi	市	6368
sa	撒	6367
sihu	似乎	6365
xiuxi	休息	6364
xianggang	香港	6363
turan	突然	6361
ganggang	刚刚	6360
shige	是个	6360
yitian	一天	6360
mingxian	明显	6359
shoudao	收到	6358
zhi	至	6358
jie	接	6357
bingqie	并且	6356
jiaoyu	教育	6355
xingwei	行为	6355
dailai	带来	6353
mei	美	6353
yaoshi	要是	6352
zaocheng	造成	6351
wei	未	6350
qingchu	清楚	6349
shangde	上的	6349
ban	办	6348
fangzi	房子	6347
fei	非	6347
shenzhen	深圳	6347
ai	哎	6346
jiuhui	就会	6345
liyong	利用	6345
chongxin	重新	6344
dagai	大概	6344
anpai	安排	6343
ji	即	6343
ji	级	6343
lijie	理解	6342
zijin	资金	6339
budao	不到	6338
ci	此	6338
bianhua	变化	6337
xiansheng	先生	6337
tuijian	推荐	6335
yongyou	拥有	6335
boke	博客	6334
zhuangtai	状态	6333
ban	版	6332
baozheng	保证	6332
fu	副	6330
meinv	美女	6330
nandao	难道	6330
ganma	干嘛	6329
cha	差	6326
an	俺	6325
dakai	打开	6324
gaibian	改变	6324
pinpai	品牌	6324
shou	收	6323
buxiang	不想	6322
nan	男	6321
liao	了	6319
youge	有个	6319
zi	字	6319
bisai	比赛	6318
baochi	保持	6317
chaoguo	超过	6317
diqu	地区	6316
gu	股	6316
guangzhou	广州	6315
xiamian	下面	6315
ji	几	6314
louzhu	楼主	6314
gongcheng	工程	6313
kao	考	6313
liang	两	6313
shipin	视频	6313
weizhi	位置	6313
zhuan	转	6313
huida	回答	6312
kuai	块	6312
kanjian	看见	6310
ziran	自然	6310
fangbian	方便	6309
haizai	还在	6309
kuaile	快乐	6309
guiding	规定	6306
fenzhong	分钟	6305
shengyin	声音	6305
xinli	心里	6305
xingfu	幸福	6304
yinyue	音乐	6304
shebei	设备	6303
xian	线	6303
zhou	周	6301
meiti	媒体	6300
nashi	那是	6300
piaoliang	漂亮	6298
gengxin	更新	6297
laoban	老板	6297
shou	手	6297
dao	道	6296
jijin	基金	6296
shizai	实在	6296
huang	黄	6295
bian	便	6293
diyici	第一次	6292
manman	慢慢	6292
mima	密码	6292
daozhi	导致	6291
henhao	很好	6289
mi	米	6289
liao	聊	6288
taolun	讨论	6288
banben	版本	6287
shangwang	上网	6287
zhu	猪	6287
zhishao	至少	6286
jichu	基础	6285
tongzhi	通知	6285
qu	取	6284
jiehun	结婚	6283
jieshu	结束	6283
yixia	以下	6283
wa	哇	6282
weilai	未来	6281
di	低	6279
meige	每个	6276
nan	难	6275
woxiang	我想	6275
haimei	还没	6274
jiancha	检查	6274
cengjing	曾经	6272
o	哦	6272
suibian	随便	6272
zhiliao	治疗	6272
jituan	集团	6270
likai	离开	6270
shangci	上次	6270
yiyuan	医院	6270
fabiao	发表	6269
xiangdang	相当	6269
yanzhong	严重	6269
er	儿	6265
zenmeyang	怎么样	6265
a	阿	6264
bao	包	6264
shou	受	6264
bujin	不仅	6263
shuyu	属于	6262
yifu	衣服	6262
shiji	实际	6261
goumai	购买	6260
he	喝	6260
zhengce	政策	6259
bai	白	6258
zhuce	注册	6258
gengjia	更加	6256
jin	金	6253
juran	居然	6253
zhebian	这边	6253
baogao	报告	6252
jiaqiang	加强	6252
youxiao	有效	6252
baohu	保护	6250
bingbu	并不	6249
guan	管	6249
jin	近	6249
mudi	目的	6249
jilu	记录	6248
si	四	6248
wojiu	我就	6248
zhiliang	质量	6247
jianchi	坚持	6245
xinde	新的	6245
ding	定	6243
eryi	而已	6239
gou	够	6236
jiqi	机器	6236
yumen	郁闷	6236
baobao	宝宝	6235
jiao	交	6235
men	门	6235
moshi	模式	6235
shishi	实施	6235
haoduo	好多	6234
shia	是啊	6234
yang	样	6233
pianyi	便宜	6232
rangren	让人	6232
zenyang	怎样	6232
guanjian	关键	6231
houmian	后面	6231
peixun	培训	6229
gushi	故事	6228
yijian	意见	6227
li	李	6226
xiao	笑	6226
chuan	传	6225
aiqing	爱情	6224
douhui	都会	6224
kanle	看了	6223
taiwan	台湾	6221
zi	自	6221
fabu	发布	6220
fangan	方案	6220
meici	每次	6220
bian	边	6219
daliang	大量	6219
man	慢	6219
hei	黑	6217
shua	刷	6217
tongyang	同样	6217
daodi	到底	6216
xing	型	6216
laogong	老公	6215
shoudao	受到	6215
yongyuan	永远	6215
chuan	穿	6213
juedui	绝对	6213
kanzhe	看着	6213
laile	来了	6211
yue	越	6210
ganqing	感情	6208
yushi	于是	6208
taiduo	太多	6207
yuanyi	愿意	6206
duifang	对方	6205
suizhe	随着	6204
wei	位	6204
yali	压力	6204
wangyou	网友	6203
jigou	机构	6202
buguan	不管	6201
gui	贵	6201
kaoshi	考试	6200
jiaoliu	交流	6199
biye	毕业	6198
chang	长	6198
jiazhi	价值	6198
mianfei	免费	6198
zhiyi	之一	6198
bu	部	6194
chengben	成本	6194
peizhi	配置	6194
pingtai	平台	6194
yinian	一年	6194
dei	得	6193
jihu	几乎	6193
shengming	生命	6193
ju	据	6191
shouxian	首先	6191
zhidu	制度	6191
biancheng	变成	6190
chu	处	6190
guai	怪	6190
niu	牛	6190
tamen	她们	6190
dasuan	打算	6189
shengji	升级	6189
xuan	选	6189
wending	稳定	6188
yijia	一家	6188
gongzi	工资	6187
tiezi	帖子	6186
zhan	站	6186
najiu	那就	6185
zhuanjia	专家	6185
dao	倒	6184
jishi	即使	6184
sheng	省	6183
xianchang	现场	6183
zhongdian	重点	6183
cuowu	错误	6181
jiaoyi	交易	6181
tan	谈	6180
cailiao	材料	6178
canyu	参与	6178
cheng	称	6178
qun	群	6177
tai	台	6177
chuantong	传统	6176
diaocha	调查	6176
tongshi	同事	6176
tade	她的	6174
ershi	而是	6173
feiyong	费用	6173
jiegou	结构	6173
lihai	厉害	6173
han	汗	6170
youqi	尤其	6170
lei	累	6169
zuopin	作品	6169
dier	第二	6168
fumu	父母	6168
jing	经	6168
queren	确认	6168
tiantian	天天	6168
yangzi	样子	6168
cha	查	6167
jiaru	加入	6167
xiang	象	6167
bian	变	6165
yanjing	眼睛	6165
ban	半	6164
gengduo	更多	6164
yinqi	引起	6164
shenshang	身上	6163
xinqing	心情	6163
jiating	家庭	6162
shu	数	6162
zuizhong	最终	6161
fenbie	分别	6160
miandui	面对	6160
yiwei	一位	6160
tamen	它们	6159
laizi	来自	6158
xiguan	习惯	6158
bugou	不够	6156
fanwei	范围	6156
ge	格	6156
mian	面	6156
shijian	事件	6156
tuichu	推出	6156
zhishi	知识	6156
nishi	你是	6155
qunian	去年	6155
xinwen	新闻	6155
zidong	自动	6155
chen	陈	6151
hong	红	6151
laji	垃圾	6151
zaoshang	早上	6150
yiyi	意义	6149
haihao	还好	6148
jiji	积极	6147
wu	五	6147
shihe	适合	6146
fang	方	6143
quanmian	全面	6143
rensheng	人生	6143
zhixing	执行	6143
jinyibu	进一步	6142
zhengshi	正式	6142
ding	顶	6141
lou	楼	6140
du	读	6139
manzu	满足	6139
yunxing	运行	6138
shouru	收入	6136
mou	某	6135
buzhi	不知	6134
liaotian	聊天	6134
shifen	十分	6134
daima	代码	6133
luan	乱	6133
yudao	遇到	6133
qita	其它	6132
dengdeng	等等	6131
youshi	优势	6131
hahaha	哈哈哈	6130
qude	取得	6130
qule	去了	6130
ma	马	6129
tiao	条	6129
yuan	远	6129
hai	海	6126
fangxiang	方向	6125
jishi	及时	6125
buguai	不乖	6122
dan	单	6122
xiang	相	6122
buzai	不再	6121
guang	光	6120
youjian	邮件	6119
jiejie	姐姐	6118
xilie	系列	6118
jieshi	解释	6117
jingli	经历	6117
putong	普通	6117
re	热	6117
zaici	再次	6117
ninde	您的	6116
fengxian	风险	6115
huiyi	会议	6115
lingyu	领域	6115
tongyi	统一	6114
jitian	几天	6113
nongmin	农民	6113
quanqiu	全球	6113
sixiang	思想	6113
wulun	无论	6113
xingshi	形式	6113
yuangong	员工	6113
qie	且	6112
za	咋	6111
zhong	种	6111
duanxin	短信	6110
gua	挂	6110
feng	风	6108
jinqu	进去	6108
lin	林	6106
zengzhang	增长	6106
benren	本人	6105
e	额	6105
man	满	6105
xianshi	现实	6105
suowei	所谓	6104
buran	不然	6102
shei	谁	6101
falv	法律	6100
kaixin	开心	6099
jiuyao	就要	6098
yidong	移动	6097
hetong	合同	6096
hua	化	6096
kaizhan	开展	6096
nongcun	农村	6096
shidai	时代	6096
yuming	域名	6096
ban	班	6095
gongju	工具	6095
tongyi	同意	6095
qiche	汽车	6094
xiangdao	想到	6094
nvhai	女孩	6093
zhongwu	中午	6093
di	滴	6092
xiangfa	想法	6092
ziyou	自由	6092
dianshi	电视	6091
erzi	儿子	6091
huanying	欢迎	6088
wenzi	文字	6088
zhang	涨	6088
wuliao	无聊	6085
yihui	一会	6084
danxin	担心	6083
tingshuo	听说	6082
dian	店	6081
guan	关	6081
ji	机	6081
an	安	6080
gongtong	共同	6080
xianxiang	现象	6080
lilun	理论	6079
shishi	事实	6079
xiaqu	下去	6079
zuo	坐	6079
renmin	人民	6078
sange	三个	6078
yizhang	一张	6077
e	俄	6076
qianmian	前面	6075
deshi	的事	6074
jianshao	减少	6074
du	度	6073
fei	飞	6073
xuanchuan	宣传	6073
yue	约	6073
gandao	感到	6071
jingran	竟然	6071
lianjie	链接	6071
liu	刘	6071
liliang	力量	6070
xiaofeizhe	消费者	6070
ge	歌	6069
majia	马甲	6069
bangongshi	办公室	6067
jieduan	阶段	6067
huifu	回复	6066
jiankang	健康	6066
yuyan	语言	6066
fangzai	放在	6065
huiyou	会有	6065
shizai	是在	6065
bao	报	6064
xin	信	6064
yejiu	也就	6064
yemian	页面	6064
duixiang	对象	6062
yisheng	医生	6062
zhengming	证明	6062
zhendui	针对	6060
zhoumo	周末	6060
ruo	若	6059
yaobu	要不	6059
fan	饭	6058
rengran	仍然	6058
shuliang	数量	6058
yuan	原	6058
wan	晚	6057
wen	文	6057
yundong	运动	6057
baodao	报道	6056
douzai	都在	6056
rangni	让你	6056
wozai	我在	6056
maosi	貌似	6054
shibai	失败	6054
liang	量	6053
cun	村	6051
lvyou	旅游	6051
xiangdui	相对	6051
shi	式	6050
bijing	毕竟	6049
haoma	号码	6049
xiaci	下次	6049
zeren	责任	6048
meishenme	没什么	6047
qijian	期间	6047
yitiao	一条	6046
bugan	不敢	6045
changqi	长期	6045
cujin	促进	6045
huifu	恢复	6045
kong	空	6045
mao	毛	6045
suanle	算了	6045
buru	不如	6044
shanchu	删除	6044
shan	山	6043
wangji	忘记	6042
xinli	心理	6042
shuru	输入	6041
shishi	试试	6040
zaishuo	再说	6040
zhizuo	制作	6038
kexi	可惜	6037
ling	另	6037
zhu	主	6037
xiangshou	享受	6035
chengle	成了	6034
jingying	经营	6034
xiaban	下班	6034
douyao	都要	6032
fa	伐	6029
henkuai	很快	6029
jiehe	结合	6029
weihu	维护	6029
shenbian	身边	6028
zuida	最大	6028
zuozhe	作者	6027
fouze	否则	6026
gushi	股市	6026
jian	间	6026
nanjing	南京	6026
denglu	登录	6024
muqin	母亲	6024
jinguan	尽管	6023
yehui	也会	6023
benshen	本身	6022
jiashang	加上	6022
sousuo	搜索	6022
waimian	外面	6022
wenwen	问问	6022
youxiangongsi	有限公司	6022
zuixin	最新	6022
ru	入	6021
tingdao	听到	6021
keai	可爱	6020
liyi	利益	6020
pingshi	平时	6020
tie	贴	6020
zhan	占	6020
henda	很大	6019
zuohao	做好	6019
chaxun	查询	6018
keji	科技	6018
pan	盘	6018
shuang	爽	6018
neibu	内部	6017
yingyu	英语	6017
baobei	宝贝	6016
gege	哥哥	6016
renzhen	认真	6016
wanshan	完善	6016
yeyao	也要	6016
hangzhou	杭州	6015
hennan	很难	6015
jisuan	计算	6015
fangwen	访问	6012
fuqin	父亲	6012
zhuan	赚	6011
wang	往	6010
woyao	我要	6009
dui	队	6007
jiuxiang	就像	6007
shangwu	上午	6007
yinsu	因素	6007
mingque	明确	6006
yang	杨	6005
zhenshi	真实	6005
fanying	反映	6004
fuhe	符合	6004
ganshou	感受	6004
meili	美丽	6003
pian	片	6002
rizi	日子	6002
yibian	一边	6002
yuelaiyue	越来越	6002
qidong	启动	6000
dadianhua	打电话	5999
ganxie	感谢	5999
shujuku	数据库	5999
xingqu	兴趣	5999
doubu	都不	5998
gou	狗	5997
guowai	国外	5997
wangwang	往往	5997
tedian	特点	5996
wobu	我不	5996
biyao	必要	5994
fangqi	放弃	5994
shequ	社区	5994
shuxi	熟悉	5994
jisuanji	计算机	5993
zhuanmen	专门	5993
zhengzhi	政治	5992
fei	费	5991
guo	国	5991
huai	坏	5991
yifen	一份	5991
dianzi	电子	5990
fuza	复杂	5990
huiyuan	会员	5990
meimei	妹妹	5989
sui	岁	5989
chengdu	程度	5988
quyu	区域	5988
xingqi	星期	5988
yiran	依然	5988
xue	血	5987
zhengti	整体	5986
weiyi	唯一	5984
jizhong	集中	5983
touru	投入	5982
duile	对了	5981
leixing	类型	5981
xianzhi	限制	5981
bangwo	帮我	5980
hanguo	韩国	5980
li	离	5980
tongji	统计	5980
xi	西	5980
zhengque	正确	5980
gong	共	5979
long	龙	5979
zuole	做了	5979
guanxin	关心	5977
ming	明	5977
shangshi	上市	5977
zanmen	咱们	5977
chao	超	5976
ma	妈	5976
caiqu	采取	5975
guihua	规划	5974
jun	均	5973
zhuangbei	装备	5973
baba	爸爸	5972
nianqing	年轻	5972
zaixian	在线	5972
henshao	很少	5970
bude	不得	5969
lianghao	良好	5968
goutong	沟通	5967
zanshi	暂时	5967
biede	别的	5966
chengji	成绩	5965
qi	期	5965
qie	切	5965
bangmang	帮忙	5964
da	达	5964
shuangfang	双方	5964
zhao	照	5964
zuigao	最高	5964
fujin	附近	5963
leisi	类似	5963
shuzi	数字	5963
xiaoxin	小心	5963
dianji	点击	5962
gewei	各位	5962
laikan	来看	5962
maile	买了	5962
nver	女儿	5961
renlei	人类	5961
shiqu	失去	5961
juxing	举行	5959
renwu	人物	5959
shiyizhong	是一种	5959
chengdu	成都	5958
kexue	科学	5958
tisheng	提升	5958
chengli	成立	5956
jiqi	及其	5956
juda	巨大	5956
liu	留	5956
taidu	态度	5956
yanse	颜色	5955
pingjia	评价	5953
fengge	风格	5952
te	特	5952
xiongdi	兄弟	5949
dong	动	5948
chanye	产业	5947
gengduode	更多的	5947
kunnan	困难	5947
qi	气	5947
meiren	没人	5946
ge	哥	5945
jiaoshi	教师	5945
lianjie	连接	5945
niao	鸟	5945
shen	神	5945
fanying	反应	5942
fengfu	丰富	5942
gan	甘	5942
jiao	教	5942
zhide	值得	5942
zhongwen	中文	5942
gainian	概念	5940
dangdi	当地	5939
qingwen	请问	5939
guandian	观点	5938
mianqian	面前	5938
rende	人的	5938
youle	有了	5938
meng	梦	5937
peihe	配合	5937
